condition,seed,learning_rate,epochs,test_balanced_accuracy,test_f1,test_accuracy,test_TP,test_FP,test_TN,test_FN,test_false_positive_rate,test_false_negative_rate,dev_balanced_accuracy,test_novel_balanced_accuracy,guided_dev_balanced_accuracy_reference_only,blank_false_firing_rate,clipping_fraction,weight_l2_norm,E_mean_l2_test,I_mean_l2_test,n_never_active_test,n_no_positive_target_test,elapsed_sec
frozen,42,0.05,25,0.5003503300587349,0.001644736842105263,0.970361328125,1,5,39745,1209,0.00012578616352201257,0.9991735537190083,0.4999747627700384,0.4999504827927705,,0.0,,7.389060083370068,0.31335162477328404,0.31134378450543754,253,3,2.4055898189544678
frozen,43,0.05,25,0.5010960019553728,0.004971002485501243,0.9706787109375,3,13,39756,1188,0.0003268877769116649,0.9974811083123426,0.5013303639304282,0.5016226892442791,,0.0,,7.3908402027050135,0.303892623387179,0.3017485934785867,251,6,2.539454698562622
frozen,44,0.05,25,0.502464337456815,0.010801080108010801,0.9731689453125,6,25,39855,1074,0.0006268806419257773,0.9944444444444445,0.5037326419729693,0.4999258673519818,,0.0,,7.406871305065521,0.28924124861510314,0.29151337801362365,246,28,2.3464512825012207
frozen,45,0.05,25,0.5021328982791642,0.010189228529839884,0.966796875,7,40,39593,1320,0.0010092599601342316,0.9947249434815373,0.5034649119896714,0.5018241649547288,,0.0,,7.4254103308434045,0.3433827721424735,0.3446175380220254,244,2,2.3448338508605957
frozen,46,0.05,25,0.5008958769625294,0.0046911649726348705,0.9689208984375,3,24,39684,1249,0.0006044122091266244,0.9976038338658147,0.5003960072324168,0.49998765279664154,,0.0,,7.4309152423954155,0.31933316648594745,0.31804813117265435,248,4,2.4001266956329346
correction_only,42,0.05,25,0.5003503300587349,0.001644736842105263,0.970361328125,1,5,39745,1209,0.00012578616352201257,0.9991735537190083,0.4999747627700384,0.4999504827927705,1.0,0.0,,7.389060083370068,0.31335162477328404,0.31134378450543754,253,3,16.752612113952637
correction_only,43,0.05,25,0.5010960019553728,0.004971002485501243,0.9706787109375,3,13,39756,1188,0.0003268877769116649,0.9974811083123426,0.5013303639304282,0.5016226892442791,1.0,0.0,,7.3908402027050135,0.303892623387179,0.3017485934785867,251,6,16.719377517700195
correction_only,44,0.05,25,0.502464337456815,0.010801080108010801,0.9731689453125,6,25,39855,1074,0.0006268806419257773,0.9944444444444445,0.5037326419729693,0.4999258673519818,1.0,0.0,,7.406871305065521,0.28924124861510314,0.29151337801362365,246,28,16.687206268310547
correction_only,45,0.05,25,0.5021328982791642,0.010189228529839884,0.966796875,7,40,39593,1320,0.0010092599601342316,0.9947249434815373,0.5034649119896714,0.5018241649547288,1.0,0.0,,7.4254103308434045,0.3433827721424735,0.3446175380220254,244,2,16.82304286956787
correction_only,46,0.05,25,0.5008958769625294,0.0046911649726348705,0.9689208984375,3,24,39684,1249,0.0006044122091266244,0.9976038338658147,0.5003960072324168,0.49998765279664154,1.0,0.0,,7.4309152423954155,0.31933316648594745,0.31804813117265435,248,4,16.62750005722046
local_learning,42,0.05,25,0.772909298820105,0.5569724393253805,0.9737060546875,677,544,39206,533,0.013685534591194969,0.44049586776859506,0.7404270804242514,0.7117184208354508,1.0,0.0,0.00883931244976544,7.501728866927552,0.36858898864388884,0.26457955646793974,23,3,11.881922960281372
local_learning,43,0.05,25,0.7772453509276356,0.605595667870036,0.978662109375,671,354,39415,520,0.00890140561744072,0.436607892527288,0.7675622707258711,0.7308743413910134,1.0,0.0,0.010604897220830432,7.504250132572226,0.3551267242971731,0.2588056404569451,39,6,11.908347606658936
local_learning,44,0.05,25,0.801215684089305,0.612395929694727,0.979541015625,662,420,39460,418,0.01053159478435306,0.387037037037037,0.7895490959285533,0.7492494320515015,1.0,0.0,0.009895879368558751,7.509719074247439,0.3388434869055604,0.24880613314278346,43,28,11.738146305084229
local_learning,45,0.05,25,0.7683718539605401,0.5704225352112676,0.973193359375,729,500,39133,598,0.012615749501677894,0.4506405425772419,0.828689989474845,0.7315148748383169,1.0,0.0,0.009962313971723083,7.545493820677094,0.4013371532643683,0.2956718024500033,33,2,11.966178178787231
local_learning,46,0.05,25,0.7707976294039138,0.5662994696042432,0.9740478515625,694,505,39203,558,0.012717840233706054,0.44568690095846647,0.7750394577229327,0.7192694704111884,1.0,0.0,0.009142952630613077,7.5314421513555665,0.3728401654885948,0.2725694384752369,35,4,11.772295236587524
shuffled_teacher,42,0.05,25,0.5166689536878216,0.06229353468617272,0.9514892578125,66,843,38907,1144,0.02120754716981132,0.9454545454545454,0.5361442469391925,0.5212172545749122,1.0,0.0,0.019272087323609115,9.027580570882753,0.3832890728033,0.2989863174490172,64,3,11.510878801345825
shuffled_teacher,43,0.05,25,0.5273185961268897,0.08809648662821186,0.9575439453125,84,632,39137,1107,0.01589177500062863,0.929471032745592,0.5213218562339604,0.5199861819099026,1.0,0.0,0.024292234279330385,8.84290261346586,0.3650927978413165,0.2926606446026035,87,6,11.596751928329468
